Date,return
2020-01-15,
2020-01-16,-0.0013280770604673364
2020-01-17,0.003096077300511091
2020-01-21,-0.00460335458067096
2020-01-22,-0.036473861633477433
2020-01-23,0.06989227987324131
2020-01-24,0.010131561162980418
2020-01-27,-0.02954067643707603
2020-01-28,0.01631503987442695
2020-01-29,-0.01549876446379006
2020-01-30,0.01325822464003057
2020-01-31,-0.007649804052533682
2020-02-03,0.03672774443671312
2020-02-04,0.03029078400801488
2020-02-05,0.0017869816890101475
2020-02-06,-0.007385119840455978
2020-02-07,-0.0004907136146554691
2020-02-10,0.01165582515051966
2020-02-11,0.007035839440804104
2020-02-12,0.016771010628049865
2020-02-13,0.0036510833014062882
2020-02-14,-0.002625362537152398
2020-02-18,0.01921485072869089
2020-02-19,-0.004108682693504839
2020-02-20,-0.0004921131965964776
2020-02-21,-0.01548190391204951
2020-02-24,-0.030372127204380206
2020-02-25,-0.02362934831302166
2020-02-26,0.05181523426386381
2020-02-27,-0.020055266929334792
2020-02-28,-0.007236019128974647
2020-03-02,0.03205262983594359
2020-03-03,-0.03275745439731814
2020-03-04,0.03992243658206984
2020-03-05,-0.029107120232565897
2020-03-06,-0.010273086798227027
2020-03-09,-0.06286141323063266
2020-03-10,0.04965703014288092
2020-03-11,-0.039806364840901054
2020-03-12,-0.10433862045715436
2020-03-13,0.06463760760315296
2020-03-16,-0.11809528159499649
2020-03-17,0.0676311396057665
2020-03-18,-0.013475846292513971
2020-03-19,0.051161728436999176
2020-03-20,0.002406486167514821
2020-03-23,0.07922191107504162
2020-03-24,-0.008221960514710247
2020-03-25,-0.04268127831476498
2020-03-26,0.05842477775621724
2020-03-27,-0.0163034126925945
2020-03-30,0.03802237096844596
2020-03-31,0.01216425415560174
2020-04-01,-0.030884884377077704
2020-04-02,0.016345575372688437
2020-04-03,-0.022738126675379
2020-04-06,0.04908492600855663
2020-04-07,-0.020419705494459706
2020-04-08,-0.003120808751993387
2020-04-09,-0.0010783833096681406
2020-04-13,0.06778368128101153
2020-04-14,0.04154765136238048
2020-04-15,0.03141996505430189
2020-04-16,0.02868825075213355
2020-04-17,-0.037609020702160656
2020-04-20,0.033776234347121736
2020-04-21,-0.008401104728438469
2020-04-22,-0.02902272839147635
2020-04-23,0.012451225850218073
2020-04-24,-0.004015602544598984
2020-04-27,-0.008530565270694623
2020-04-28,-0.042541086913501225
2020-04-29,0.019762394900812552
2020-04-30,0.01914116019297829
2020-05-01,-0.0109686345324711
2020-05-04,0.030544702582173677
2020-05-05,-0.008137660317715678
2020-05-06,0.02230752865466279
2020-05-07,0.00521364309032446
2020-05-08,-0.0022475264057222333
2020-05-11,0.011346250119093071
2020-05-12,-0.019946970648243578
2020-05-13,0.01482628203599834
2020-05-14,0.008361647382755244
2020-05-15,0.027318836943867275
2020-05-18,-0.003551104647377734
2020-05-19,-0.003408467113555247
2020-05-20,-0.007499662472230106
2020-05-21,-0.025840910321866417
2020-05-22,-0.016012894843267844
2020-05-26,-0.03447845543283634
2020-05-27,0.012268683858303042
2020-05-28,-0.015480400039549203
2020-05-29,0.01509926652876814
2020-06-01,0.014639893145115046
2020-06-02,0.0032581726910638764
2020-06-03,-0.012575515069765508
2020-06-04,-0.018271499004829828
2020-06-05,0.012639165718537626
2020-06-08,-0.0002622266270631002
2020-06-09,0.0341200422731438
2020-06-10,0.0009902322984869372
2020-06-11,-0.020743996101503903
2020-06-12,-0.017757042773079768
2020-06-15,0.01761604787526938
2020-06-16,0.024675427226601876
2020-06-17,0.026339307950925317
2020-06-18,0.004678958094256558
2020-06-19,0.008521629096061467
2020-06-22,0.031073510226302226
2020-06-23,-0.0038103412137795445
2020-06-24,-0.01820180650923664
2020-06-25,0.017450857401408726
2020-06-26,-0.04952020686901637
2020-06-29,0.008623058026902441
2020-06-30,0.017290004509363577
2020-07-01,0.06508229288571599
2020-07-02,-0.018181751794561052
2020-07-06,0.0348649358314459
2020-07-07,-0.0013171504496636288
2020-07-08,0.019319023823479498
2020-07-09,0.009856217981337068
2020-07-10,0.07759756743141821
2020-07-13,-0.04325629134538467
2020-07-14,-0.001180515977662111
2020-07-15,-0.003091183209349424
2020-07-16,0.007861849444309676
2020-07-17,-0.0674514705219682
2020-07-20,0.01892765665124596
2020-07-21,-0.02480706233446739
2020-07-22,-0.0005714727387546858
2020-07-23,-0.02530633459189424
2020-07-24,0.005991533092306156
2020-07-27,0.03114683003397012
2020-07-28,-0.014510058071725673
2020-07-29,-0.008283788607450937
2020-07-30,0.0027208179548177114
2020-07-31,0.006320079134029655
2020-08-03,0.01972720223239488
2020-08-04,0.021860350049087707
2020-08-05,-0.0148854328360013
2020-08-06,0.013785958727480008
2020-08-07,-0.028592967331870334
2020-08-10,-0.023209077504277253
2020-08-11,-0.03462376609691997
2020-08-12,0.018124453265498275
2020-08-13,0.01224928657597335
2020-08-14,0.002800815375554322
2020-08-17,-0.0006838887610625122
2020-08-18,0.019544439738448993
2020-08-19,-0.015035097609542802
2020-08-20,0.027219894990444082
2020-08-21,-0.011290646973463048
2020-08-24,-0.0071347334974909415
2020-08-25,0.003614476295129343
2020-08-26,0.10982897100358446
2020-08-27,-0.0396028820797536
2020-08-28,-0.004532659556859997
2020-08-31,0.010764701878435368
2020-09-01,0.0497105235466373
2020-09-02,-0.006688314692724795
2020-09-03,-0.05024286273030487
2020-09-04,-0.01862217822561263
2020-09-08,-0.017653207480731403
2020-09-09,-0.013562397755030098
2020-09-10,-0.03980703922048345
2020-09-11,0.0028253583442579
2020-09-14,-0.01204240614459362
