Date,day,Open,High,Low,Close,5-day,10-day,signal,return,system_return,entry
2020-01-15,10,338.67999267578125,343.1700134277344,336.6000061035156,339.07000732421875,336.2780029296875,334.29400024414065,1,,,
2020-01-16,11,343.5,343.55999755859375,335.8500061035156,338.6199951171875,336.8700012207031,335.175,1,-0.0013280770604673364,-0.0013280770604673364,0.0
2020-01-17,12,341.0,341.57000732421875,337.3800048828125,339.6700134277344,338.99400634765624,336.552001953125,1,0.003096077300511091,0.003096077300511091,0.0
2020-01-21,13,340.0,341.0,332.5899963378906,338.1099853515625,338.8320007324219,336.7800018310547,1,-0.00460335458067096,-0.00460335458067096,0.0
2020-01-22,14,332.54998779296875,336.29998779296875,323.6000061035156,326.0,336.29400024414065,336.3050018310547,-1,-0.036473861633477433,0.036473861633477433,-2.0
2020-01-23,15,326.0400085449219,349.8800048828125,325.010009765625,349.6000061035156,338.4,337.33900146484376,1,0.06989227987324131,0.06989227987324131,2.0
2020-01-24,16,348.4599914550781,359.8500061035156,345.8800048828125,353.1600036621094,341.30800170898436,339.08900146484376,1,0.010131561162980418,0.010131561162980418,0.0
2020-01-27,17,345.95001220703125,351.8999938964844,341.0199890136719,342.8800048828125,341.95,340.4720031738281,1,-0.02954067643707603,-0.02954067643707603,0.0
2020-01-28,18,345.8800048828125,352.3999938964844,342.7799987792969,348.5199890136719,344.03200073242186,341.4320007324219,1,0.01631503987442695,0.01631503987442695,0.0
2020-01-29,19,349.0,349.3999938964844,338.54998779296875,343.1600036621094,347.46400146484376,341.8790008544922,1,-0.01549876446379006,-0.01549876446379006,0.0
2020-01-30,20,341.1000061035156,348.20001220703125,339.25,347.739990234375,347.0919982910156,342.7459991455078,1,0.01325822464003057,0.01325822464003057,0.0
2020-01-31,21,347.3900146484375,347.3900146484375,340.9800109863281,345.0899963378906,345.4779968261719,343.39299926757815,1,-0.007649804052533682,-0.007649804052533682,0.0
2020-02-03,22,347.239990234375,359.6300048828125,346.2799987792969,358.0,348.5019958496094,345.2259979248047,1,0.03672774443671312,0.03672774443671312,0.0
2020-02-04,23,361.0,369.57000732421875,356.1000061035156,369.010009765625,352.6,348.3160003662109,1,0.03029078400801488,0.03029078400801488,0.0
2020-02-05,24,375.1300048828125,375.25,362.29998779296875,369.6700134277344,357.902001953125,352.68300170898436,1,0.0017869816890101475,0.0017869816890101475,0.0
2020-02-06,25,369.6000061035156,371.54998779296875,362.510009765625,366.95001220703125,361.74400634765624,354.4180023193359,1,-0.007385119840455978,-0.007385119840455978,0.0
2020-02-07,26,365.0400085449219,371.79998779296875,363.57000732421875,366.7699890136719,366.0800048828125,355.7790008544922,1,-0.0004907136146554691,-0.0004907136146554691,0.0
2020-02-10,27,365.0,374.79998779296875,362.5199890136719,371.07000732421875,368.6940063476562,358.59800109863284,1,0.01165582515051966,0.01165582515051966,0.0
2020-02-11,28,373.75,378.1099853515625,369.7200012207031,373.69000244140625,369.6300048828125,361.11500244140626,1,0.007035839440804104,0.007035839440804104,0.0
2020-02-12,29,377.17999267578125,380.6199951171875,375.8800048828125,380.010009765625,371.6980041503906,364.8000030517578,1,0.016771010628049865,0.016771010628049865,0.0
2020-02-13,30,376.9599914550781,385.3699951171875,376.510009765625,381.3999938964844,374.58800048828124,368.16600341796874,1,0.0036510833014062882,0.0036510833014062882,0.0
2020-02-14,31,381.4700012207031,385.1499938964844,379.42999267578125,380.3999938964844,377.3140014648437,371.69700317382814,1,-0.002625362537152398,-0.002625362537152398,0.0
2020-02-18,32,379.29998779296875,389.5400085449219,379.19000244140625,387.7799987792969,380.6559997558594,374.6750030517578,1,0.01921485072869089,0.01921485072869089,0.0
